npc_id	client_devname	client_ai_name	pattern_name	pattern_file	quest_ai_name
201047	CH_SpritualBear_G1_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
201048	CH_FallenBear_G1_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
201068	Test_Orphe1	Lmerchant	LMerchant	NpcAIPatterns.xml	Orphe
201069	Test_Orphe2	Lmerchant	LMerchant	NpcAIPatterns.xml	Orphe
202502	Abyss_RankerSkill_Light_Avatar_G1_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
202503	Abyss_RankerSkill_Light_Avatar_G2_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
202504	Abyss_RankerSkill_Light_Avatar_G3_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
202505	Abyss_RankerSkill_Light_Avatar_G4_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
202506	Abyss_RankerSkill_Light_Avatar_G5_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
202507	Abyss_RankerSkill_Dark_Avatar_G1_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
202508	Abyss_RankerSkill_Dark_Avatar_G2_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
202509	Abyss_RankerSkill_Dark_Avatar_G3_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
202510	Abyss_RankerSkill_Dark_Avatar_G4_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
202511	Abyss_RankerSkill_Dark_Avatar_G5_NPC	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203050	Kales	Lmerchant	LMerchant	NpcAIPatterns.xml	Kales
203051	CLM_Farmer	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203052	CFM_Farmer	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203053	LF1_Mercenary_1	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203054	LF1_Mercenary_2	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203055	LF1_Mercenary_3	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203056	LF1_Mercenary_4	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203060	Mune	Lmerchant	LMerchant	NpcAIPatterns.xml	Mune
203061	Uno	Lmerchant	LMerchant	NpcAIPatterns.xml	Uno
203062	Ager	Lmerchant	LMerchant	NpcAIPatterns.xml	
203063	Amus	Lmerchant	LMerchant	NpcAIPatterns.xml	Amus
203074	Pranoa	Lmerchant	LMerchant	NpcAIPatterns.xml	Pranoa
203075	Namus	Lmerchant	LMerchant	NpcAIPatterns.xml	Namus
203080	Lonia	Lmerchant	LMerchant	NpcAIPatterns.xml	Lonia
203092	Purine	Lmerchant	LMerchant	NpcAIPatterns.xml	
203093	Alteno	Lmerchant	LMerchant	NpcAIPatterns.xml	Alteno
203094	Drasia	Lmerchant	LMerchant	NpcAIPatterns.xml	
203095	Enia	Lmerchant	LMerchant	NpcAIPatterns.xml	Enia
203100	Ipis	Lmerchant	LMerchant	NpcAIPatterns.xml	Ipis
203101	Nadaelo	Lmerchant	LMerchant	NpcAIPatterns.xml	Nadaelo
203102	Adelia	Lmerchant	LMerchant	NpcAIPatterns.xml	Adelia
203103	Mairon	Lmerchant	LMerchant	NpcAIPatterns.xml	Mairon
203104	Ordais	Lmerchant	LMerchant	NpcAIPatterns.xml	Ordais
203107	Ian	Lmerchant	LMerchant	NpcAIPatterns.xml	
203108	Ispio	Lmerchant	LMerchant	NpcAIPatterns.xml	
203121	Taiotus	Lmerchant	LMerchant	NpcAIPatterns.xml	Taiotus
203122	Hynops	Lmerchant	LMerchant	NpcAIPatterns.xml	Hynops
203123	Gano	Lmerchant	LMerchant	NpcAIPatterns.xml	Gano
203124	Ondanius	Lmerchant	LMerchant	NpcAIPatterns.xml	Ondanius
203125	Qydro	Lmerchant	LMerchant	NpcAIPatterns.xml	Qydro
203127	Naia	Lmerchant	LMerchant	NpcAIPatterns.xml	Naia
203130	Eradis	Lmerchant	LMerchant	NpcAIPatterns.xml	Eradis
203131	Maniparas	Lmerchant	LMerchant	NpcAIPatterns.xml	Maniparas
203132	Nemia	Lmerchant	LMerchant	NpcAIPatterns.xml	Nemia
203139	Krodis	Lmerchant	LMerchant	NpcAIPatterns.xml	Krodis
203140	Neltonia	Lmerchant	LMerchant	NpcAIPatterns.xml	Neltonia
203141	Hanontus	Lmerchant	LMerchant	NpcAIPatterns.xml	Hanontus
203148	Lepios	Lmerchant	LMerchant	NpcAIPatterns.xml	Lepios
203149	Gogohas	Lmerchant	LMerchant	NpcAIPatterns.xml	Gogohas
203151	Illos	Lmerchant	LMerchant	NpcAIPatterns.xml	Illos
203158	Ibion	Lmerchant	LMerchant	NpcAIPatterns.xml	Ibion
203179	Anontrite	Lmerchant	LMerchant	NpcAIPatterns.xml	Anontrite
203197	Training_Mercenary1	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203198	Training_Mercenary2	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203199	Nesia	Lfunction	LFunction	NpcAIPatterns.xml	
203316	Phoebe	Lfunction	LFunction	NpcAIPatterns.xml	Phoebe
203329	Ladisil	Lfunction	LFunction	NpcAIPatterns.xml	Ladisil
203330	Laskis	Lmerchant	LMerchant	NpcAIPatterns.xml	Laskis
203331	Hippolyta_Q2484	LGuard_AnA	LGuard_AnA	NpcAIPatterns.xml	Hippolyta_Q2484
203332	Pobina	Lfunction	LFunction	NpcAIPatterns.xml	Pobina
203333	Minos	Lfunction	LFunction	NpcAIPatterns.xml	
203334	Protesias	Lfunction	LFunction	NpcAIPatterns.xml	Protesias
203335	Menelohis	Lfunction	LFunction	NpcAIPatterns.xml	
203336	Seril	Lfunction	LFunction	NpcAIPatterns.xml	
203337	Sonirim	Lmerchant	LMerchant	NpcAIPatterns.xml	Sohnirim
203338	Deimos	LGuard_WhA_L43	LGuard_WhA_L43	NpcAIPatterns.xml	
203351	Griffon_Pet_25	LGuard_GriffonPet	LGuard_GriffonPet	NpcAIPatterns.xml	
203352	Griffon_Pet_41	LGuard_GriffonPet	LGuard_GriffonPet	NpcAIPatterns.xml	
203353	Griffon_Pet_43	LGuard_GriffonPet	LGuard_GriffonPet	NpcAIPatterns.xml	
203354	Griffon_Pet_47	LGuard_GriffonPet	LGuard_GriffonPet	NpcAIPatterns.xml	
203355	Griffon_Pet_56	LGuard_GriffonPet	LGuard_GriffonPet	NpcAIPatterns.xml	
203357	Zaif_Pet_41	DGuard_ZaifPet	DGuard_ZaifPet	NpcAIPatterns.xml	
203358	Zaif_Pet_43	DGuard_ZaifPet	DGuard_ZaifPet	NpcAIPatterns.xml	
203359	Zaif_Pet_47	DGuard_ZaifPet	DGuard_ZaifPet	NpcAIPatterns.xml	
203360	Zaif_Pet_52	DGuard_ZaifPet	DGuard_ZaifPet	NpcAIPatterns.xml	
203361	Zaif_Pet_55	DGuard_ZaifPet	DGuard_ZaifPet	NpcAIPatterns.xml	
203362	Zaif_Pet_56	DGuard_ZaifPet	DGuard_ZaifPet	NpcAIPatterns.xml	
203364	Griffon_Pet_50	LGuard_GriffonPet	LGuard_GriffonPet	NpcAIPatterns.xml	
203365	Griffon_Pet_20	LGuard_GriffonPet	LGuard_GriffonPet	NpcAIPatterns.xml	
203378	LF2_Guardian_1	LGuard_ReA_L51	LGuard_ReA_L51	NpcAIPatterns.xml	
203379	LF2_Guardian_2	LGuard_FeA	LGuard_FeA	NpcAIPatterns.xml	
203380	LF2_Griffon_Pet_Hiskaron	LGuard_GriffonPet	LGuard_GriffonPet	NpcAIPatterns.xml	
203381	LF2_Guardian_3	LGuard_PeA	LGuard_PeA	NpcAIPatterns.xml	
203386	Aeetes	Lmerchant	LMerchant	NpcAIPatterns.xml	
203387	Alcyone	Lmerchant	LMerchant	NpcAIPatterns.xml	
203388	Ocyrrhoe	Lmerchant	LMerchant	NpcAIPatterns.xml	
203389	Telephus	Lmerchant	LMerchant	NpcAIPatterns.xml	
203391	TEST_Move_Item_Skin	Lfunction	LFunction	NpcAIPatterns.xml	
203507	Galar	Dmerchant	DMerchant	NpcAIPatterns.xml	
203514	Hef	Dmerchant	DMerchant	NpcAIPatterns.xml	Hef
203515	Dalot	Dmerchant	DMerchant	NpcAIPatterns.xml	Dalot
203526	Ungfju	Dmerchant	DMerchant	NpcAIPatterns.xml	Ungfju
203533	Motgar	Dmerchant	DMerchant	NpcAIPatterns.xml	Motgar
203535	Kard	Dmerchant	DMerchant	NpcAIPatterns.xml	
203542	Denma	Dmerchant	DMerchant	NpcAIPatterns.xml	Denma
203576	Nirmirn	Dmerchant	DMerchant	NpcAIPatterns.xml	Nirmirn
203577	Dortos	Dmerchant	DMerchant	NpcAIPatterns.xml	
203578	Lunber	Dmerchant	DMerchant	NpcAIPatterns.xml	
203579	Donabe	Dmerchant	DMerchant	NpcAIPatterns.xml	
203580	Vuet	Dmerchant	DMerchant	NpcAIPatterns.xml	Vuet
203582	Venoa	Dmerchant	DMerchant	NpcAIPatterns.xml	Venoa
203583	Eida	Dmerchant	DMerchant	NpcAIPatterns.xml	
203604	Titt	Dmerchant	DMerchant	NpcAIPatterns.xml	Titt
203613	Gilungk	Dmerchant	DMerchant	NpcAIPatterns.xml	Gilungk
203614	Amitnir	Dmerchant	DMerchant	NpcAIPatterns.xml	
203615	Bogurt	Dmerchant	DMerchant	NpcAIPatterns.xml	Bogurt
203619	Nornes	Dmerchant	DMerchant	NpcAIPatterns.xml	Nornes
203629	Daike	Dmerchant	DMerchant	NpcAIPatterns.xml	Daike
203630	Vovetirn	Dmerchant	DMerchant	NpcAIPatterns.xml	Vovetirn
203634	Training_Hunter_1	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203635	Training_Hunter_2	D2_FnA	D2_FnA	NpcAIPatterns.xml	
203640	Leinolz	Dmerchant	DMerchant	NpcAIPatterns.xml	Leinolz
203641	Viel	Dmerchant	DMerchant	NpcAIPatterns.xml	Viel
203646	Dungk	Dmerchant	DMerchant	NpcAIPatterns.xml	Dungk
203657	Sarad	Dmerchant	DMerchant	NpcAIPatterns.xml	
203658	Gaivolt	Dmerchant	DMerchant	NpcAIPatterns.xml	
203659	Lateni	Dmerchant	DMerchant	NpcAIPatterns.xml	Lateni
203660	Vrenseti	Dfunction	DFunction	NpcAIPatterns.xml	
203670	Qooqoo_NPC	NPC_Flee	NPC_Flee	NpcAIPatterns.xml	
203687	Naiern	Dfunction	DFunction	NpcAIPatterns.xml	
203689	Lohaban	Dmerchant	DMerchant	NpcAIPatterns.xml	Lohaban
203690	Lakutu	Dfunction	DFunction	NpcAIPatterns.xml	Lakutu
203691	Deriona	Dfunction	DFunction	NpcAIPatterns.xml	
203692	Dobar	Dfunction	DFunction	NpcAIPatterns.xml	
203708	Iocaste	Lmerchant	LMerchant	NpcAIPatterns.xml	Iocaste
203709	Clymene	Lmerchant	LMerchant	NpcAIPatterns.xml	Clymene
203710	Dairos	Lmerchant	LMerchant	NpcAIPatterns.xml	Dairos
203711	Orphe	Lmerchant	LMerchant	NpcAIPatterns.xml	Orphe
203724	Gwenspena	Lmerchant	LMerchant	NpcAIPatterns.xml	
203727	Tunotos	Lmerchant	LMerchant	NpcAIPatterns.xml	
203728	Evestina	Lmerchant	LMerchant	NpcAIPatterns.xml	
203729	Karax	Lfunction	LFunction	NpcAIPatterns.xml	
203730	Berus	Lfunction	LFunction	NpcAIPatterns.xml	
203731	Laokones	Lfunction	LFunction	NpcAIPatterns.xml	Laokones
203732	Judisina	Lmerchant	LMerchant	NpcAIPatterns.xml	
203733	Pulo	Lmerchant	LMerchant	NpcAIPatterns.xml	
203734	Brantes	Lmerchant	LMerchant	NpcAIPatterns.xml	
203735	Himusus	Lmerchant	LMerchant	NpcAIPatterns.xml	Himusus
203736	Servillia	Lmerchant	LMerchant	NpcAIPatterns.xml	
203737	Compai	Lmerchant	LMerchant	NpcAIPatterns.xml	
203738	Phorkius	Lmerchant	LMerchant	NpcAIPatterns.xml	Phorkius
203739	Mikero	Lmerchant	LMerchant	NpcAIPatterns.xml	Mikero
203740	erdos	Lmerchant	LMerchant	NpcAIPatterns.xml	erdos
203741	ericina	Lmerchant	LMerchant	NpcAIPatterns.xml	
203742	Pusfene	Lmerchant	LMerchant	NpcAIPatterns.xml	
203743	Kumnen	Lmerchant	LMerchant	NpcAIPatterns.xml	
