npc	index	name	skill	level	here
200000	0	NPCAoedamage	16754	1	TRUE
201000	0	NPCAoedamage	16754	1	TRUE
201001	0	NPCSymbolheal	16753	1	TRUE
201007	0	PEL_Air_G1	0	1	FALSE
201008	0	PEL_Air_G2	0	1	FALSE
201010	0	Order_Decaying_G1_Earth	0	1	FALSE
201010	1	Order_ElementalField_G1_Earth	0	1	FALSE
201010	2	Order_Assail_G1_Earth	0	1	FALSE
201010	3	EL_Order_Protect_G1_Earth	0	1	FALSE
201010	4	EL_Pet_ElementalShock_G1_Earth	0	1	FALSE
201010	5	EL_Pet_ElementalTaunt_G1_Earth	0	1	FALSE
201010	6	EL_Pet_ElementalWraith_G1_Earth	0	1	FALSE
201010	7	EL_Pet_Interupt_G1_Earth	0	1	FALSE
201010	8	EL_Order_Sacrifice_G1_Earth	0	1	FALSE
201010	9	EL_Order_EtherEmission_G1_Earth	0	1	FALSE
201010	10	EL_Order_EtherImpact_G1_Earth	0	1	FALSE
201010	11	EL_Order_EtherEruption_G1_Earth	0	1	FALSE
201010	12	EL_Order_ShadowEruption_G1_Earth	0	1	FALSE
201010	13	EL_Stigma_Order_EtherEmission_G1_Earth	0	1	FALSE
201010	14	EL_Stigma_Order_EtherImpact_G1_Earth	0	1	FALSE
201010	15	EL_Stigma_Order_DestructImpact_G1_Earth	0	1	FALSE
201010	16	EL_EternalShield_G1_Earth	0	1	FALSE
201010	17	EL_Order_Omen_G1_Earth	0	1	FALSE
201010	18	EL_Order_Pet_WideTaunt_G1_Earth	0	1	FALSE
201010	19	EL_Order_Explode_G1_Earth	0	1	FALSE
201011	0	Order_Decaying_G1_Earth	0	1	FALSE
201011	1	Order_ElementalField_G1_Earth	0	1	FALSE
201011	2	Order_Assail_G1_Earth	0	1	FALSE
201011	3	EL_Order_Protect_G1_Earth	0	1	FALSE
201011	4	EL_Pet_ElementalShock_G1_Earth	0	1	FALSE
201011	5	EL_Pet_ElementalTaunt_G1_Earth	0	1	FALSE
201011	6	EL_Pet_ElementalWraith_G1_Earth	0	1	FALSE
201011	7	EL_Pet_Interupt_G1_Earth	0	1	FALSE
201011	8	EL_Order_Sacrifice_G1_Earth	0	1	FALSE
201011	9	EL_Order_EtherEmission_G1_Earth	0	1	FALSE
201011	10	EL_Order_EtherImpact_G1_Earth	0	1	FALSE
201011	11	EL_Order_EtherEruption_G1_Earth	0	1	FALSE
201011	12	EL_Order_ShadowEruption_G1_Earth	0	1	FALSE
201011	13	EL_Stigma_Order_EtherEmission_G1_Earth	0	1	FALSE
201011	14	EL_Stigma_Order_EtherImpact_G1_Earth	0	1	FALSE
201011	15	EL_Stigma_Order_DestructImpact_G1_Earth	0	1	FALSE
201011	16	EL_EternalShield_G1_Earth	0	1	FALSE
201011	17	EL_Order_Omen_G1_Earth	0	1	FALSE
201011	18	EL_Order_Pet_WideTaunt_G1_Earth	0	1	FALSE
201011	19	EL_Order_Explode_G1_Earth	0	1	FALSE
201012	0	Order_Decaying_G1_Air	0	1	FALSE
201012	1	Order_ElementalField_G1_Air	0	1	FALSE
201012	2	Order_Assail_G1_Air	0	1	FALSE
201012	3	EL_Order_Protect_G1_Air	0	1	FALSE
201012	4	EL_Pet_ElementalShock_G1_Air	0	1	FALSE
201012	5	EL_Pet_ElementalTaunt_G1_Air	0	1	FALSE
201012	6	EL_Pet_ElementalWraith_G1_Air	0	1	FALSE
201012	7	EL_Pet_Interupt_G1_Air	0	1	FALSE
201012	8	EL_Order_Sacrifice_G1_Air	0	1	FALSE
201012	9	EL_Order_EtherEmission_G1_Air	0	1	FALSE
201012	10	EL_Order_EtherImpact_G1_Air	0	1	FALSE
201012	11	EL_Order_EtherEruption_G1_Air	0	1	FALSE
201012	12	EL_Order_ShadowEruption_G1_Air	0	1	FALSE
201012	13	EL_Stigma_Order_EtherEmission_G1_Air	0	1	FALSE
201012	14	EL_Stigma_Order_EtherImpact_G1_Air	0	1	FALSE
201012	15	EL_Stigma_Order_DestructImpact_G1_Air	0	1	FALSE
201012	16	EL_EternalShield_G1_Air	0	1	FALSE
201012	17	EL_Order_Omen_G1_Air	0	1	FALSE
201012	18	EL_Order_Pet_WideTaunt_G1_Air	0	1	FALSE
201012	19	EL_Order_Explode_G1_Air	0	1	FALSE
201013	0	Order_Decaying_G1_Air	0	1	FALSE
201013	1	Order_ElementalField_G1_Air	0	1	FALSE
201013	2	Order_Assail_G1_Air	0	1	FALSE
201013	3	EL_Order_Protect_G1_Air	0	1	FALSE
201013	4	EL_Pet_ElementalShock_G1_Air	0	1	FALSE
201013	5	EL_Pet_ElementalTaunt_G1_Air	0	1	FALSE
201013	6	EL_Pet_ElementalWraith_G1_Air	0	1	FALSE
201013	7	EL_Pet_Interupt_G1_Air	0	1	FALSE
201013	8	EL_Order_Sacrifice_G1_Air	0	1	FALSE
201013	9	EL_Order_EtherEmission_G1_Air	0	1	FALSE
201013	10	EL_Order_EtherImpact_G1_Air	0	1	FALSE
201013	11	EL_Order_EtherEruption_G1_Air	0	1	FALSE
201013	12	EL_Order_ShadowEruption_G1_Air	0	1	FALSE
201013	13	EL_Stigma_Order_EtherEmission_G1_Air	0	1	FALSE
201013	14	EL_Stigma_Order_EtherImpact_G1_Air	0	1	FALSE
201013	15	EL_Stigma_Order_DestructImpact_G1_Air	0	1	FALSE
201013	16	EL_EternalShield_G1_Air	0	1	FALSE
201013	17	EL_Order_Omen_G1_Air	0	1	FALSE
201013	18	EL_Order_Pet_WideTaunt_G1_Air	0	1	FALSE
201013	19	EL_Order_Explode_G1_Air	0	1	FALSE
201014	0	Order_Decaying_G2_Earth	0	1	FALSE
201014	1	Order_ElementalField_G2_Earth	0	1	FALSE
201014	2	Order_Assail_G2_Earth	0	1	FALSE
201014	3	EL_Order_Protect_G2_Earth	0	1	FALSE
201014	4	EL_Pet_ElementalShock_G2_Earth	0	1	FALSE
201014	5	EL_Pet_ElementalTaunt_G2_Earth	0	1	FALSE
201014	6	EL_Pet_ElementalWraith_G2_Earth	0	1	FALSE
201014	7	EL_Pet_Interupt_G2_Earth	0	1	FALSE
201014	8	EL_Order_Sacrifice_G2_Earth	0	1	FALSE
