npc_id	wake_range	walks	sight_hate	sight_races	pattern
235543	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235544	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235545	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235546	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235547	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235548	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235549	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235550	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235551	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235552	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235553	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235554	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235555	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235556	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235557	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235558	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235559	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235560	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
235561	50	false	1000000	GCHIEF_DARK|GCHIEF_DRAGON|GCHIEF_LIGHT	LDF4_Advance_Killer_43
251160	50	true	0		AB1_DrGuard_Artifact_Killer
251463	50	true	0		AB1_DrGuard_Artifact_Killer
251506	50	true	0		AB1_DrGuard_Artifact_Killer
251549	50	true	0		AB1_DrGuard_Artifact_Killer
251821	50	true	0		AB1_DrGuard_Artifact_Killer
252431	50	true	0		LDF5_Fortress_DrGuard_Artifact_Killer
252432	50	true	0		LDF5_Fortress_DrGuard_Artifact_Killer
252433	50	true	0		LDF5_Fortress_DrGuard_Artifact_Killer
258259	50	true	0		AB1_DrGuard_Artifact_Killer
286956	20	false	0		Test_Monster_Jun02
286957	20	false	0		Test_Monster_Jun03
297157	50	true	0		AB1_DrGuard_Artifact_Killer
297202	50	true	0		AB1_DrGuard_Artifact_Killer
297515	50	true	0		LDF5_Fortress_DrGuard_Artifact_Killer
297570	50	false	0		LDF5_Fortress_Ctrl_01
832947	100	false	0		IDSweep_NPC03
882861	50	false	0		LDF5_Fortress_Ctrl_01
882862	50	false	0		LDF5_Fortress_Ctrl_01
882863	50	false	0		LDF5_Fortress_Ctrl_01
882864	50	false	0		LDF5_Fortress_Ctrl_01
882865	50	false	0		LDF5_Fortress_Ctrl_01
885153	50	true	0		AB1_DrGuard_Artifact_Killer
885154	50	true	0		AB1_DrGuard_Artifact_Killer
885155	50	true	0		AB1_DrGuard_Artifact_Killer
885156	50	true	0		AB1_DrGuard_Artifact_Killer
885157	50	true	0		AB1_DrGuard_Artifact_Killer
